Indicador,IndicadorDetalhe,Data,DataReferencia,Mediana,ano_ref,indicador_norm,detalhe_norm
Dívida bruta do governo geral,,2025-11-21,2031,92.5,2031,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2032,93.6,2032,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2033,94.8,2033,divida bruta do governo geral,
Dívida bruta do governo geral,,2025-11-21,2034,94.75,2034,divida bruta do governo geral,
Dívida líquida do setor público,,2025-11-21,2025,65.83,2025,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2026,70.1,2026,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2027,73.7433,2027,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2028,75.975,2028,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2029,77.7,2029,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2030,78.92,2030,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2031,79.19,2031,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2032,80.1,2032,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2033,80.4,2033,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2034,79.3,2034,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2025,65.9982,2025,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2026,70.1,2026,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2027,73.7001,2027,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2028,75.8251,2028,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2029,77.7,2029,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2030,78.92,2030,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2031,79.565,2031,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2032,80.895,2032,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2033,82.145,2033,divida liquida do setor publico,
Dívida líquida do setor público,,2025-11-21,2034,81.6,2034,divida liquida do setor publico,
IGP-M,,2025-11-21,2025,-0.4088,2025,igp-m,
IGP-M,,2025-11-21,2026,4.0,2026,igp-m,
IGP-M,,2025-11-21,2027,4.0,2027,igp-m,
IGP-M,,2025-11-21,2028,3.8,2028,igp-m,
IGP-M,,2025-11-21,2029,3.7,2029,igp-m,
IGP-M,,2025-11-21,2025,-0.5427,2025,igp-m,
IGP-M,,2025-11-21,2026,4.0,2026,igp-m,
IGP-M,,2025-11-21,2027,4.0,2027,igp-m,
IGP-M,,2025-11-21,2028,3.74,2028,igp-m,
IGP-M,,2025-11-21,2029,3.77,2029,igp-m,
Investimento direto no país,,2025-11-21,2025,72.35,2025,investimento direto no pais,
Investimento direto no país,,2025-11-21,2026,70.0,2026,investimento direto no pais,
Investimento direto no país,,2025-11-21,2027,73.7,2027,investimento direto no pais,
Investimento direto no país,,2025-11-21,2028,75.0,2028,investimento direto no pais,
Investimento direto no país,,2025-11-21,2029,76.5,2029,investimento direto no pais,
Investimento direto no país,,2025-11-21,2025,73.2,2025,investimento direto no pais,
Investimento direto no país,,2025-11-21,2026,70.0,2026,investimento direto no pais,
Investimento direto no país,,2025-11-21,2027,74.35,2027,investimento direto no pais,
Investimento direto no país,,2025-11-21,2028,75.0,2028,investimento direto no pais,
Investimento direto no país,,2025-11-21,2029,76.5,2029,investimento direto no pais,
IPCA,,2025-11-21,2025,4.4513,2025,ipca,
IPCA,,2025-11-21,2026,4.1829,2026,ipca,
IPCA,,2025-11-21,2027,3.8,2027,ipca,
IPCA,,2025-11-21,2028,3.5,2028,ipca,
IPCA,,2025-11-21,2029,3.5,2029,ipca,
IPCA,,2025-11-21,2025,4.4306,2025,ipca,
IPCA,,2025-11-21,2026,4.1663,2026,ipca,
IPCA,,2025-11-21,2027,3.8,2027,ipca,
IPCA,,2025-11-21,2028,3.5,2028,ipca,
IPCA,,2025-11-21,2029,3.5,2029,ipca,
IPCA Administrados,,2025-11-21,2025,5.13,2025,ipca administrados,
IPCA Administrados,,2025-11-21,2026,3.8,2026,ipca administrados,
IPCA Administrados,,2025-11-21,2027,3.65,2027,ipca administrados,
IPCA Administrados,,2025-11-21,2028,3.5,2028,ipca administrados,
IPCA Administrados,,2025-11-21,2029,3.5,2029,ipca administrados,
IPCA Administrados,,2025-11-21,2025,5.1493,2025,ipca administrados,
IPCA Administrados,,2025-11-21,2026,3.7865,2026,ipca administrados,
IPCA Administrados,,2025-11-21,2027,3.6,2027,ipca administrados,
IPCA Administrados,,2025-11-21,2028,3.5,2028,ipca administrados,
IPCA Administrados,,2025-11-21,2029,3.5,2029,ipca administrados,
IPCA Alimentação no domicílio,,2025-11-21,2025,2.6523,2025,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2026,4.8118,2026,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2027,4.0,2027,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2028,4.0,2028,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2029,3.7,2029,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2025,2.5609,2025,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2026,4.8293,2026,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2027,4.0,2027,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2028,3.8,2028,ipca alimentacao no domicilio,
IPCA Alimentação no domicílio,,2025-11-21,2029,3.6,2029,ipca alimentacao no domicilio,
IPCA Bens industrializados,,2025-11-21,2025,2.5361,2025,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2026,2.5949,2026,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2027,2.8289,2027,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2028,3.0,2028,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2029,3.0,2029,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2025,2.5262,2025,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2026,2.5715,2026,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2027,2.91,2027,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2028,3.0,2028,ipca bens industrializados,
IPCA Bens industrializados,,2025-11-21,2029,3.0,2029,ipca bens industrializados,
IPCA Livres,,2025-11-21,2025,4.1834,2025,ipca livres,
IPCA Livres,,2025-11-21,2026,4.3,2026,ipca livres,
IPCA Livres,,2025-11-21,2027,3.9,2027,ipca livres,
IPCA Livres,,2025-11-21,2028,3.7,2028,ipca livres,
IPCA Livres,,2025-11-21,2029,3.5,2029,ipca livres,
IPCA Livres,,2025-11-21,2025,4.1726,2025,ipca livres,
IPCA Livres,,2025-11-21,2026,4.2861,2026,ipca livres,
IPCA Livres,,2025-11-21,2027,3.89,2027,ipca livres,
IPCA Livres,,2025-11-21,2028,3.635,2028,ipca livres,
IPCA Livres,,2025-11-21,2029,3.5,2029,ipca livres,
IPCA Serviços,,2025-11-21,2025,5.9007,2025,ipca servicos,
IPCA Serviços,,2025-11-21,2026,5.188,2026,ipca servicos,
IPCA Serviços,,2025-11-21,2027,4.5,2027,ipca servicos,
IPCA Serviços,,2025-11-21,2028,4.0,2028,ipca servicos,
IPCA Serviços,,2025-11-21,2029,4.0,2029,ipca servicos,
IPCA Serviços,,2025-11-21,2025,5.93,2025,ipca servicos,
IPCA Serviços,,2025-11-21,2026,5.188,2026,ipca servicos,
IPCA Serviços,,2025-11-21,2027,4.5,2027,ipca servicos,
IPCA Serviços,,2025-11-21,2028,4.0,2028,ipca servicos,
IPCA Serviços,,2025-11-21,2029,3.8,2029,ipca servicos,
PIB Agropecuária,,2025-11-21,2025,8.0,2025,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2026,2.5,2026,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2027,2.8,2027,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2028,2.7,2028,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2029,2.7,2029,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2025,8.0,2025,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2026,2.45,2026,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2027,2.8,2027,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2028,2.73,2028,pib agropecuaria,
PIB Agropecuária,,2025-11-21,2029,2.78,2029,pib agropecuaria,
PIB Despesa de consumo da administração pública,,2025-11-21,2025,1.1,2025,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2026,1.7,2026,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2027,1.2,2027,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2028,1.5,2028,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2029,1.5,2029,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2025,1.0001,2025,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2026,1.7,2026,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2027,1.1,2027,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2028,1.4,2028,pib despesa de consumo da administracao publica,
PIB Despesa de consumo da administração pública,,2025-11-21,2029,1.35,2029,pib despesa de consumo da administracao publica,
PIB Despesa de consumo das famílias,,2025-11-21,2025,2.04,2025,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2026,2.0,2026,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2027,2.0,2027,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2028,2.0,2028,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2029,2.0,2029,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2025,2.0,2025,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2026,2.0,2026,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2027,1.85,2027,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2028,1.9,2028,pib despesa de consumo das familias,
PIB Despesa de consumo das famílias,,2025-11-21,2029,1.95,2029,pib despesa de consumo das familias,
PIB Exportação de bens e serviços,,2025-11-21,2025,3.2,2025,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2026,3.1,2026,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2027,3.0,2027,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2028,3.0,2028,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2029,3.0,2029,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2025,3.35,2025,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2026,3.15,2026,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2027,3.0,2027,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2028,3.0,2028,pib exportacao de bens e servicos,
PIB Exportação de bens e serviços,,2025-11-21,2029,3.0,2029,pib exportacao de bens e servicos,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2025,3.6,2025,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2026,1.2,2026,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2027,1.8,2027,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2028,2.0,2028,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2029,2.0,2029,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2025,3.6,2025,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2026,1.2,2026,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2027,1.8,2027,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2028,2.0,2028,pib formacao bruta de capital fixo,
PIB Formação Bruta de Capital Fixo,,2025-11-21,2029,2.0,2029,pib formacao bruta de capital fixo,
PIB Importação de bens e serviços,,2025-11-21,2025,5.4,2025,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2026,2.5,2026,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2027,2.45,2027,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2028,2.5,2028,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2029,2.5,2029,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2025,5.64,2025,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2026,2.4,2026,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2027,2.0,2027,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2028,2.0,2028,pib importacao de bens e servicos,
PIB Importação de bens e serviços,,2025-11-21,2029,2.495,2029,pib importacao de bens e servicos,
PIB Indústria,,2025-11-21,2025,1.4,2025,pib industria,
PIB Indústria,,2025-11-21,2026,1.4,2026,pib industria,
PIB Indústria,,2025-11-21,2027,1.7,2027,pib industria,
PIB Indústria,,2025-11-21,2028,2.0,2028,pib industria,
PIB Indústria,,2025-11-21,2029,2.0,2029,pib industria,
PIB Indústria,,2025-11-21,2025,1.5,2025,pib industria,
PIB Indústria,,2025-11-21,2026,1.445,2026,pib industria,
PIB Indústria,,2025-11-21,2027,1.6,2027,pib industria,
PIB Indústria,,2025-11-21,2028,1.8126,2028,pib industria,
PIB Indústria,,2025-11-21,2029,2.0,2029,pib industria,
PIB Serviços,,2025-11-21,2025,1.9,2025,pib servicos,
PIB Serviços,,2025-11-21,2026,1.8,2026,pib servicos,
PIB Serviços,,2025-11-21,2027,2.0,2027,pib servicos,
PIB Serviços,,2025-11-21,2028,2.0,2028,pib servicos,
PIB Serviços,,2025-11-21,2029,2.0,2029,pib servicos,
PIB Serviços,,2025-11-21,2025,1.9,2025,pib servicos,
PIB Serviços,,2025-11-21,2026,1.825,2026,pib servicos,
PIB Serviços,,2025-11-21,2027,1.8,2027,pib servicos,
PIB Serviços,,2025-11-21,2028,2.0,2028,pib servicos,
PIB Serviços,,2025-11-21,2029,2.0,2029,pib servicos,
PIB Total,,2025-11-21,2025,2.1599,2025,pib total,
PIB Total,,2025-11-21,2026,1.7788,2026,pib total,
PIB Total,,2025-11-21,2027,1.88,2027,pib total,
PIB Total,,2025-11-21,2028,2.0,2028,pib total,
PIB Total,,2025-11-21,2029,2.0,2029,pib total,
PIB Total,,2025-11-21,2025,2.1536,2025,pib total,
PIB Total,,2025-11-21,2026,1.7792,2026,pib total,
PIB Total,,2025-11-21,2027,1.8,2027,pib total,
PIB Total,,2025-11-21,2028,2.0,2028,pib total,
PIB Total,,2025-11-21,2029,2.0,2029,pib total,
Resultado nominal,,2025-11-21,2025,-8.47,2025,resultado nominal,
Resultado nominal,,2025-11-21,2026,-8.665,2026,resultado nominal,
Resultado nominal,,2025-11-21,2027,-7.6001,2027,resultado nominal,
Resultado nominal,,2025-11-21,2028,-7.0,2028,resultado nominal,
Resultado nominal,,2025-11-21,2029,-6.5,2029,resultado nominal,
Resultado nominal,,2025-11-21,2030,-6.07,2030,resultado nominal,
Resultado nominal,,2025-11-21,2031,-6.0,2031,resultado nominal,
Resultado nominal,,2025-11-21,2032,-5.9,2032,resultado nominal,
Resultado nominal,,2025-11-21,2033,-5.71,2033,resultado nominal,
Resultado nominal,,2025-11-21,2034,-5.6,2034,resultado nominal,
Resultado nominal,,2025-11-21,2025,-8.459,2025,resultado nominal,
Resultado nominal,,2025-11-21,2026,-8.665,2026,resultado nominal,
Resultado nominal,,2025-11-21,2027,-7.6001,2027,resultado nominal,
Resultado nominal,,2025-11-21,2028,-6.9501,2028,resultado nominal,
Resultado nominal,,2025-11-21,2029,-6.5,2029,resultado nominal,
Resultado nominal,,2025-11-21,2030,-6.07,2030,resultado nominal,
Resultado nominal,,2025-11-21,2031,-5.975,2031,resultado nominal,
Resultado nominal,,2025-11-21,2032,-5.845,2032,resultado nominal,
Resultado nominal,,2025-11-21,2033,-5.705,2033,resultado nominal,
Resultado nominal,,2025-11-21,2034,-5.6,2034,resultado nominal,
Resultado primário,,2025-11-21,2025,-0.5,2025,resultado primario,
Resultado primário,,2025-11-21,2026,-0.6,2026,resultado primario,
Resultado primário,,2025-11-21,2027,-0.4,2027,resultado primario,
Resultado primário,,2025-11-21,2028,-0.15,2028,resultado primario,
Resultado primário,,2025-11-21,2029,0.0,2029,resultado primario,
Resultado primário,,2025-11-21,2030,0.2,2030,resultado primario,
Resultado primário,,2025-11-21,2031,0.38,2031,resultado primario,
Resultado primário,,2025-11-21,2032,0.5,2032,resultado primario,
Resultado primário,,2025-11-21,2033,0.7,2033,resultado primario,
Resultado primário,,2025-11-21,2034,0.85,2034,resultado primario,
Resultado primário,,2025-11-21,2025,-0.5,2025,resultado primario,
Resultado primário,,2025-11-21,2026,-0.52,2026,resultado primario,
Resultado primário,,2025-11-21,2027,-0.4,2027,resultado primario,
Resultado primário,,2025-11-21,2028,-0.11,2028,resultado primario,
Resultado primário,,2025-11-21,2029,0.0,2029,resultado primario,
Resultado primário,,2025-11-21,2030,0.2,2030,resultado primario,
Resultado primário,,2025-11-21,2031,0.42,2031,resultado primario,
Resultado primário,,2025-11-21,2032,0.5,2032,resultado primario,
Resultado primário,,2025-11-21,2033,0.705,2033,resultado primario,
Resultado primário,,2025-11-21,2034,0.875,2034,resultado primario,
Selic,,2025-11-21,2025,15.0,2025,selic,
Selic,,2025-11-21,2026,12.0,2026,selic,
Selic,,2025-11-21,2027,10.5,2027,selic,
Selic,,2025-11-21,2028,9.75,2028,selic,
Selic,,2025-11-21,2029,9.5,2029,selic,
Selic,,2025-11-21,2025,15.0,2025,selic,
Selic,,2025-11-21,2026,12.0,2026,selic,
Selic,,2025-11-21,2027,10.25,2027,selic,
Selic,,2025-11-21,2028,9.5,2028,selic,
Selic,,2025-11-21,2029,9.5,2029,selic,
Taxa de desocupação,,2025-11-21,2025,5.7,2025,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2026,6.2,2026,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2027,6.95,2027,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2028,7.0,2028,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2029,7.0,2029,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2025,5.7,2025,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2026,6.2,2026,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2027,7.0,2027,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2028,7.15,2028,taxa de desocupacao,
Taxa de desocupação,,2025-11-21,2029,7.0,2029,taxa de desocupacao,
Balança comercial,Exportações,2025-11-19,2025,344.6,2025,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2026,350.43,2026,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2027,365.0,2027,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2028,371.8654,2028,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2029,375.0,2029,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2025,345.0,2025,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2026,354.9,2026,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2027,366.0,2027,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2028,365.3,2028,balanca comercial,exportacoes
Balança comercial,Exportações,2025-11-19,2029,369.0,2029,balanca comercial,exportacoes
Balança comercial,Importações,2025-11-19,2025,281.314,2025,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2026,286.0,2026,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2027,290.9,2027,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2028,300.0,2028,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2029,305.0,2029,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2025,280.8016,2025,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2026,288.9,2026,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2027,296.0,2027,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2028,300.0,2028,balanca comercial,importacoes
Balança comercial,Importações,2025-11-19,2029,308.0,2029,balanca comercial,importacoes
Balança comercial,Saldo,2025-11-19,2025,62.0,2025,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2026,65.8546,2026,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2027,72.85,2027,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2028,72.25,2028,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2029,70.0,2029,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2025,62.0,2025,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2026,65.8,2026,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2027,70.35,2027,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2028,70.0,2028,balanca comercial,saldo
Balança comercial,Saldo,2025-11-19,2029,70.0,2029,balanca comercial,saldo
Câmbio,,2025-11-19,2025,5.4,2025,cambio,
Câmbio,,2025-11-19,2026,5.5,2026,cambio,
Câmbio,,2025-11-19,2027,5.5,2027,cambio,
Câmbio,,2025-11-19,2028,5.5,2028,cambio,
Câmbio,,2025-11-19,2029,5.5,2029,cambio,
Câmbio,,2025-11-19,2025,5.4,2025,cambio,
Câmbio,,2025-11-19,2026,5.5,2026,cambio,
Câmbio,,2025-11-19,2027,5.5025,2027,cambio,
Câmbio,,2025-11-19,2028,5.5,2028,cambio,
Câmbio,,2025-11-19,2029,5.5,2029,cambio,
Conta corrente,,2025-11-19,2025,-72.2,2025,conta corrente,
Conta corrente,,2025-11-19,2026,-65.25,2026,conta corrente,
Conta corrente,,2025-11-19,2027,-62.004,2027,conta corrente,
Conta corrente,,2025-11-19,2028,-62.759,2028,conta corrente,
